"File","SourceDateTime","MediaDescription","SourceUrl","Status"
"2026-08-03-001.jpg","You uploaded a feed photo on August 3, 2026 at 2:58 PM (GMT)","-","https://media.licdn.com/dms/image/v2/D4E22AQF7_sO5BrWqlA/feedshare-shrink_480/B4EZ_IIky1IUAg-/0/1785769119558?e=1787788800&v=beta&t=kc9xuuMuB5XrLLAbW3pCD51MgTQYQibjEx6yC2Vfl9U","downloaded"
"2026-08-03-002.jpg","You uploaded a feed photo on August 3, 2026 at 2:58 PM (GMT)","-","https://media.licdn.com/dms/image/v2/D4E22AQGRKwQh7yC2Gw/feedshare-shrink_1280/B4EZ_IIkzRH4AM-/0/1785769119591?e=1787788800&v=beta&t=tYrlXn4URr0mVZNmB8YZ1ZBAmngunOILXoOp7Jnm-wk","downloaded"
"2026-07-29-003.jpg","You uploaded a feed photo on July 29, 2026 at 2:50 PM (GMT)","Brad Smith is going to be talking how Zapier AI's this coming Mond(ai)y. Come on out and have a coffee and chat. ","https://media.licdn.com/dms/image/v2/D4E22AQGtvCCCE3gvJQ/feedshare-shrink_160/B4EZ.uWp0CJIAo-/0/1785336602217?e=1787788800&v=beta&t=veIlGp3j1A_vgQ1OHHUK1BV0T1oK6SjMKWRituLHP6A","downloaded"
"2026-07-27-004.jpg","You uploaded a feed photo on July 27, 2026 at 3:19 PM (GMT)","-","https://media.licdn.com/dms/image/v2/D4E22AQFEY-QlJzRHkw/feedshare-shrink_480/B4EZ.kKMG5HMAk-/0/1785165563046?e=1787788800&v=beta&t=oGxKAFFJ_RUa1xRtf1sjeZQHzlEaluiY1IAgGdjFyrk","downloaded"
"2026-07-27-005.jpg","You uploaded a feed photo on July 27, 2026 at 3:19 PM (GMT)","-","https://media.licdn.com/dms/image/v2/D4E22AQHkqLmuty97YA/feedshare-shrink_800/B4EZ.kKMKxHkAc-/0/1785165563158?e=1787788800&v=beta&t=kvUWfPUQhNBpyDJ0kiesAHd6tjUvknyfYA2432LFuMg","downloaded"
"2026-07-23-006.jpg","You uploaded a feed photo on July 23, 2026 at 2:48 PM (GMT)","Come out Mond(ai)y to learn about what Ken Griggs and the crew are working on to help verify the human in the loop. ","https://media.licdn.com/dms/image/v2/D4E22AQH4l9r6_xL8_g/feedshare-shrink_20/B4EZ.PcwjBJMAI-/0/1784818109183?e=1787788800&v=beta&t=TrNj9Py7JBXa5P8E60WlUPephs0gdcB1xUefva8wZNo","downloaded"
"2026-07-20-007.jpg","You uploaded a feed photo on July 20, 2026 at 6:53 PM (GMT)","TIL: My cultural reference of Mike Myers coffee talk sketch on SNL is no longer the SEO leader of coffee talk. Apparently there is a video game. Who knew?

Anyways, we had a good ol' fashion coffee talk today at the Mond(ai)y Coffee. Samuel Obukwelu talked about how impressed he was with Kimi K3. John Avery shared how Fable started to read his mind. Kolin Simon talked about talking with GPT-Live. And so much more. Fun chat. 

Starting next week though, we've got a couple weeks of folks sharing some things they're working on. 
* 7/27 - Ken Griggs is going to share more about Not.Bot
* 8/3 - Brad Smith is going to share how Zapier AIs
* 8/10 - Ximon Zhu is going to share some thoughts on turning your expertise into your own AI

Come on and join the fun and the conversation. Every Monday at 830a. ","https://media.licdn.com/dms/image/v2/D4E22AQGpTyB5iT7_Nw/feedshare-shrink_160/B4EZ.A4GWfIAAo-/0/1784573617831?e=1787788800&v=beta&t=RvHaMdpbnOsuWm2uvAfPpW-6tzzKf_r2-7XrZqhsJs4","downloaded"
"2026-07-13-008.jpg","You uploaded a feed photo on July 13, 2026 at 3:07 PM (GMT)","Sometimes the room wants organization, and sometimes the room wants chaos. Today, the room chose chaos.

R. Hunter Harris shared a little about Pi.dev.

Ankush Tewari shared his goal for Fable this week.

But mostly, the room divided into smaller conversations and discussed whatever it saw fit.

Hi. Ho. ","https://media.licdn.com/dms/image/v2/D4E22AQHhx5s-G719wA/feedshare-shrink_160/B4EZ9cBTvQJ0Ak-/0/1783955275439?e=1787788800&v=beta&t=I1gdrTqNC6NJLee1ijyrvkfidcoMluQtkygLq83q5ak","downloaded"
"2026-07-05-009.jpg","You uploaded a feed photo on July 5, 2026 at 2:29 PM (GMT)","For those who are interested, we're going to talk about Fable 5, how folks are using it, and getting the most out of it on Monday.","https://media.licdn.com/dms/image/v2/D4E22AQE8wSzifkNPNA/feedshare-shrink_160/B4EZ8yrvp1IwAk-/0/1783261756338?e=1787788800&v=beta&t=KvsWbRwqwBrU1YvkZFJCLvxdj80WFPpd8gFom416xco","downloaded"
"2026-06-16-010.jpg","You uploaded a feed photo on June 16, 2026 at 2:53 PM (GMT)","Every community needs people like Errol Oliver Kendall. He welcomes all new comers with a handshake and friendly smile. He asks smart questions and when he gets real curious he suggest speakers.

And that's how we got Jonathan of Ten Sparrows to present yesterday. On-Prem AI FTW!","https://media.licdn.com/dms/image/v2/D4E22AQGwI0xam3XRGQ/feedshare-shrink_800/B4EZ7Q7IS6HAAc-/0/1781621622550?e=1787788800&v=beta&t=nTA1C-MOoIC6Z4oEJQCHUdJB09qBM5ofyV7Qz4UAOt0","downloaded"
"2026-06-08-011.jpg","You uploaded a feed photo on June 8, 2026 at 7:11 PM (GMT)","We had a fun Mond(ai)y Coffee this week. We started out on a conversation around IP and sharing ideas in an AI world. We didn't come to any answers, but started to circle around the idea that it's easier than ever to build something for you, but it's still real damn hard to build a scalable business. So don't get too worried about people stealing your stuff. 

We then went on to a pass the aux the session where several folks shared about AI cooking tools, internet radio, and LLM selection tools. Fun interesting ideas all around! ","https://media.licdn.com/dms/image/v2/D4E22AQERxuFS6LiDRQ/feedshare-shrink_800/B4EZ6opakgJ4Ac-/0/1780945890160?e=1787788800&v=beta&t=mvcxa--B4MzcNrbUFZW1b-EL-z9XjDvJvdkrTZ79fOI","downloaded"
"2026-04-27-012.jpg","You uploaded a feed photo on April 27, 2026 at 5:28 PM (GMT)","Another packed room for our  Mond(ai)y Coffee. Mpule Gandhi and Abhijoy Gandhi started making the trip to Midtown from Suwanee every Monday a couple weeks ago. This week, they shared what they've been working on and got the room talking until after 11am. 

I know I'm a broken record on this, but being in room with a group of folks building cool things and sharing and helping each other is as powerful as $200 a month Claude subscription. 

@","https://media.licdn.com/dms/image/v2/D4E22AQG-aEE4jb79hA/feedshare-image-high-res/B4EZ3P_DNoKQAk-/0/1777310905861?e=1787788800&v=beta&t=2TtIzCtXUvKHCY1CVl0huwstt4Mi4mxSRXzpfoZcQZA","downloaded"
"2026-04-20-013.jpg","You uploaded a feed photo on April 20, 2026 at 3:04 PM (GMT)","Big crowd for Anatoly Shilman sharing about CogBias at the Mond(AI)y Coffee. 

We talked about a lot of stuff this week including getting smart interns and employees to work with you, how to build with less on-going token costs, and nuclear power. 

See y'all next week. ","https://media.licdn.com/dms/image/v2/D4E22AQHjZFocL7g36g/feedshare-shrink_160/B4EZ2rbF53JkAo-/0/1776697499592?e=1787788800&v=beta&t=bpRojx6gBYQgQUgwkUn6jzXvlqeXq34Qtkh4sz97Urs","downloaded"
"2026-04-14-014.jpg","You uploaded a photo on April 14, 2026 at 8:03 PM (GMT)","-","https://media.licdn.com/dms/image/v2/D4E2CAQFIaNnp5h1U8g/comment-image-shrink_8192_1280/B4EZ2Nl8q0JkAg-/0/1776197029431?e=1786716000&v=beta&t=EJxbjj3NqBjAKZvrgqvUfvxOQh07wVpsB_sJSWxHzIE","downloaded"
"2026-04-14-015.jpg","You uploaded a feed photo on April 14, 2026 at 8:00 PM (GMT)","-","https://media.licdn.com/dms/image/v2/D4E22AQHyc65ArbAdTg/feedshare-shrink_20/B4EZ2NlTIwJUAI-/0/1776196858753?e=1787788800&v=beta&t=oPqNeCkW1kMZcu-E2K_hshJHtRYO0JUHbQJDtXn4L94","downloaded"
"2026-04-14-016.jpg","You uploaded a feed photo on April 14, 2026 at 8:00 PM (GMT)","-","https://media.licdn.com/dms/image/v2/D4E22AQEcZAos8UlNeg/feedshare-shrink_20/B4EZ2NlTJBJwAI-/0/1776196858824?e=1787788800&v=beta&t=RtFz6_K-1oEiT6GfolK4UIoRjT5klzhhmmhcHUI60RU","downloaded"
"2026-04-14-017.jpg","You uploaded a feed photo on April 14, 2026 at 8:00 PM (GMT)","-","https://media.licdn.com/dms/image/v2/D4E22AQFNS8pX_1_f-g/feedshare-shrink_800/B4EZ2NlTJcKEAc-/0/1776196859007?e=1787788800&v=beta&t=qnOufOyeRPNu_oZxnmC0zSGXZTsRahy5485uGtiCV4E","downloaded"
